model,top1_accuracy,top5_accuracy
seresnet50,80.264,95.072
tf_efficientnet_el,80.25,95.122
vit_base_patch16_224_sam,80.242,94.754
regnetx_320,80.24,95.022
legacy_seresnext101_32x4d,80.224,95.01
repvgg_b3g4,80.212,95.106
tf_efficientnetv2_b2,80.206,95.042
dpn107,80.172,94.906
convmixer_768_32,80.164,95.072
inception_v4,80.162,94.966
skresnext50_32x4d,80.152,94.644
eca_resnet33ts,80.08,94.97
gcresnet33ts,80.08,95.0
tf_efficientnet_b2,80.08,94.908
cspdarknet53,80.062,95.084
resnet50_gn,80.054,94.948
cspresnext50,80.05,94.946
dpn92,80.016,94.824
ens_adv_inception_resnet_v2,79.978,94.938
efficientnet_b2_pruned,79.916,94.854
gluon_seresnext50_32x4d,79.914,94.832
gluon_resnet152_v1c,79.908,94.848
resnetrs50,79.886,94.966
xception71,79.876,94.922
deit_small_patch16_224,79.86,95.046
regnetx_160,79.85,94.83
ecaresnet26t,79.848,95.086
levit_192,79.832,94.786
dpn131,79.824,94.708
tf_efficientnet_lite3,79.82,94.912
resmlp_36_224,79.768,94.886
cait_xxs36_224,79.748,94.866
gluon_xception65,79.716,94.86
ecaresnet50d_pruned,79.708,94.88
xcit_tiny_12_p8_224,79.69,95.054
fbnetv3_d,79.682,94.948
gluon_resnet152_v1b,79.68,94.738
resnext50d_32x4d,79.67,94.864
dpn98,79.646,94.596
gmlp_s16_224,79.64,94.624
regnetx_120,79.592,94.734
cspresnet50,79.582,94.704
gluon_resnet101_v1c,79.534,94.58
rexnet_130,79.5,94.684
eca_halonext26ts,79.49,94.598
hrnet_w64,79.472,94.652
tf_efficientnetv2_b1,79.464,94.724
dla102x2,79.446,94.632
xcit_tiny_24_p16_224,79.444,94.884
resmlp_24_224,79.382,94.546
repvgg_b2g4,79.37,94.688
gluon_resnext50_32x4d,79.364,94.426
resnext101_32x8d,79.316,94.518
ese_vovnet39b,79.312,94.714
pit_xs_distilled_224,79.306,94.364
tf_efficientnet_cc_b1_8e,79.306,94.372
resnetblur50,79.304,94.634
gluon_resnet101_v1b,79.302,94.52
hrnet_w48,79.302,94.512
nf_regnet_b1,79.288,94.748
tf_efficientnet_b1_ap,79.28,94.304
eca_botnext26ts_256,79.274,94.616
botnet26t_256,79.252,94.528
efficientnet_em,79.25,94.794
ssl_resnet50,79.226,94.836
dpn68b,79.22,94.418
resnet33ts,79.21,94.572
regnetx_080,79.202,94.554
res2net101_26w_4s,79.196,94.436
fbnetv3_b,79.148,94.746
halonet26t,79.116,94.31
lambda_resnet26t,79.098,94.588
coat_lite_mini,79.096,94.604
gluon_resnet50_v1d,79.076,94.472
legacy_seresnext50_32x4d,79.068,94.434
regnetx_064,79.066,94.458
xception,79.05,94.392
resnet32ts,79.012,94.358
res2net50_26w_8s,78.98,94.294
mixnet_l,78.976,94.178
lambda_resnet26rpt_256,78.968,94.428
hrnet_w40,78.916,94.474
hrnet_w44,78.9,94.374
wide_resnet101_2,78.854,94.29
tf_efficientnet_b1,78.828,94.198
gluon_inception_v3,78.804,94.37
efficientnet_b1,78.796,94.342
repvgg_b2,78.792,94.418
tf_mixnet_l,78.774,93.996
gluon_resnet50_v1s,78.712,94.24
dla169,78.692,94.34
tf_efficientnet_b0_ns,78.658,94.378
legacy_seresnet152,78.652,94.37
xcit_tiny_12_p16_224_dist,78.576,94.196
res2net50_26w_6s,78.566,94.134
dla102x,78.516,94.226
xception41,78.51,94.278
levit_128,78.492,94.006
regnetx_040,78.482,94.244
resnest26d,78.476,94.292
dla60_res2net,78.462,94.206
hrnet_w32,78.448,94.194
dla60_res2next,78.44,94.15
vit_tiny_patch16_384,78.434,94.542
coat_tiny,78.43,94.04
selecsls60b,78.412,94.174
legacy_seresnet101,78.388,94.264
cait_xxs24_224,78.384,94.31
repvgg_b1,78.368,94.096
tf_efficientnetv2_b0,78.36,94.02
tv_resnet152,78.316,94.034
mobilevit_s,78.312,94.152
res2next50,78.252,93.886
bat_resnext26ts,78.25,94.098
dla60x,78.244,94.018
efficientnet_b1_pruned,78.24,93.834
hrnet_w30,78.198,94.224
pit_xs_224,78.186,94.164
regnetx_032,78.172,94.088
res2net50_14w_8s,78.144,93.848
tf_efficientnet_em,78.132,94.044
hardcorenas_f,78.098,93.802
efficientnet_es,78.056,93.936
gmixer_24_224,78.036,93.67
dla102,78.03,93.948
gluon_resnet50_v1c,78.012,93.99
seresnext26t_32x4d,77.976,93.746
selecsls60,77.976,93.83
res2net50_26w_4s,77.96,93.852
resmlp_12_distilled_224,77.942,93.558
mobilenetv3_large_100_miil,77.916,92.906
tf_efficientnet_cc_b0_8e,77.906,93.656
resnet26t,77.862,93.844
regnety_016,77.86,93.722
rexnet_100,77.858,93.87
tf_inception_v3,77.856,93.64
seresnext26ts,77.852,93.79
gcresnext26ts,77.82,93.83
xcit_nano_12_p8_384_dist,77.818,94.044
hardcorenas_e,77.794,93.696
efficientnet_b0,77.69,93.53
tinynet_a,77.65,93.536
legacy_seresnet50,77.63,93.75
tv_resnext50_32x4d,77.616,93.7
seresnext26d_32x4d,77.604,93.608
repvgg_b1g4,77.586,93.83
adv_inception_v3,77.582,93.736
gluon_resnet50_v1b,77.58,93.722
res2net50_48w_2s,77.52,93.552
coat_lite_tiny,77.514,93.916
tf_efficientnet_lite2,77.468,93.756
eca_resnext26ts,77.454,93.566
inception_v3,77.438,93.474
hardcorenas_d,77.43,93.482
tv_resnet101,77.378,93.542
densenet161,77.354,93.636
tf_efficientnet_cc_b0_4e,77.302,93.334
mobilenetv2_120d,77.294,93.496
densenet201,77.29,93.478
mixnet_m,77.264,93.424
poolformer_s12,77.236,93.504
selecsls42b,77.174,93.392
xcit_tiny_12_p16_224,77.126,93.716
resnet34d,77.114,93.38
legacy_seresnext26_32x4d,77.106,93.318
tf_efficientnet_b0_ap,77.094,93.256
hardcorenas_c,77.05,93.158
dla60,77.03,93.32
crossvit_9_dagger_240,76.982,93.61
regnetx_016,76.95,93.422
convmixer_1024_20_ks9_p14,76.942,93.356
tf_mixnet_m,76.942,93.154
gernet_s,76.908,93.132
skresnet34,76.904,93.32
tf_efficientnet_b0,76.844,93.228
ese_vovnet19b_dw,76.802,93.272
resnext26ts,76.78,93.128
hrnet_w18,76.754,93.44
resnet26d,76.704,93.15
resmlp_12_224,76.656,93.18
tf_efficientnet_lite1,76.64,93.22
mixer_b16_224,76.612,92.228
tf_efficientnet_es,76.596,93.204
densenetblur121d,76.584,93.192
hardcorenas_b,76.536,92.754
mobilenetv2_140,76.522,92.996
levit_128s,76.52,92.872
repvgg_a2,76.458,93.01
xcit_nano_12_p8_224_dist,76.32,93.088
regnety_008,76.31,93.07
dpn68,76.306,92.974
